Time,Used,Committed,Max
45438.744258,23418328,32894976,109576192
45438.744304,23438288,32894976,109576192
45438.744351,23825136,32894976,109576192
45438.744397,23122288,32894976,109576192
45438.744443,22770552,32894976,109576192
45438.744490,21865328,32894976,109576192
45438.744536,22072736,32894976,109576192
45438.744582,22079960,32894976,109576192
45438.744629,22071176,32894976,109576192
45438.744675,22143160,32894976,109576192
45438.744721,21021752,32894976,109576192
45438.744768,21069512,32894976,109576192
45438.744814,20888016,32894976,109576192
45438.744860,21099520,32894976,109576192
45438.744907,20751592,32894976,109576192
45438.744953,20796696,32894976,109576192
45438.744999,20824240,32894976,109576192
45438.745046,21004808,32894976,109576192
45438.745092,20689944,32894976,109576192
45438.745138,20318840,32894976,109576192
45438.745185,19025888,32894976,109576192
45438.745231,18882480,32894976,109576192
45438.745278,19081328,32894976,109576192
45438.745324,19115104,32894976,109576192
45438.745370,19346664,32894976,109576192
45438.745417,19172840,32894976,109576192
45438.745463,19167944,32894976,109576192
45438.745509,19417096,32894976,109576192
45438.745556,19632400,32894976,109576192
45438.745602,19844456,32894976,109576192
45438.745648,20025800,32894976,109576192
45438.745695,19885928,32894976,109576192
45438.745741,19908800,32894976,109576192
45438.745787,20101880,32894976,109576192
45438.745834,27422848,32894976,109576192
45438.745880,25388512,32894976,109576192
45438.745927,25068992,32894976,109576192
45438.745973,25245096,32894976,109576192
45438.746019,25098656,32894976,109576192
45438.746066,25485952,32894976,109576192
45438.746112,25533208,32894976,109576192
45438.746158,25558312,32894976,109576192
45438.746205,25554160,32894976,109576192
45438.746251,25980608,32894976,109576192
45438.746298,26178656,32894976,109576192
45438.746344,26351760,32894976,109576192
45438.746390,26237976,32894976,109576192
45438.746437,26618008,32894976,109576192
45438.746483,26270880,32894976,109576192
45438.746529,25599328,32894976,109576192
45438.746576,22943264,32894976,109576192
45438.746622,22604512,32894976,109576192
45438.746669,22839592,32894976,109576192
45438.746716,23215032,32894976,109576192
45438.746761,22322672,32894976,109576192
45438.746808,22320536,32894976,109576192
45438.746854,22190808,32894976,109576192
45438.746900,22205104,32894976,109576192
45438.746947,22215960,32894976,109576192
45438.746993,21671000,32894976,109576192
45438.747039,22104600,32894976,109576192
45438.747086,21561672,32894976,109576192
45438.747132,21370096,32894976,109576192
45438.747179,21422488,32894976,109576192
45438.747225,21087832,32894976,109576192
45438.747271,20156744,32894976,109576192
45438.747318,21102784,32894976,109576192
45438.747364,19984392,32894976,109576192
45438.747410,20617720,32894976,109576192
45438.747456,20614088,32894976,109576192
45438.747503,20664320,32894976,109576192
45438.747549,21041696,32894976,109576192
45438.747596,21062032,32894976,109576192
45438.747642,21272496,32894976,109576192
45438.747688,20376056,32894976,109576192
45438.747735,20223720,32894976,109576192
45438.747781,20256744,32894976,109576192
45438.747827,20618168,32894976,109576192
45438.747874,20873408,32894976,109576192
45438.747920,20704264,32894976,109576192
45438.747966,29323464,32894976,109576192
45438.748013,20739968,32894976,109576192
45438.748059,20571008,32894976,109576192
45438.748106,20590816,32894976,109576192
45438.748152,20594728,32894976,109576192
45438.748198,20641392,32894976,109576192
45438.748245,21071808,32894976,109576192
45438.748291,21461040,32894976,109576192
45438.748338,22213296,32894976,109576192
45438.748384,21703496,32894976,109576192
45438.748430,21140496,32894976,109576192
45438.748476,21192920,32894976,109576192
45438.748523,20815136,32894976,109576192
45438.748569,20859776,32894976,109576192
45438.748615,20905808,32894976,109576192
45438.748662,29673312,32894976,109576192
45438.748708,29727360,32894976,109576192
45438.748754,29712648,32894976,109576192
45438.748801,29749288,32894976,109576192
45438.748847,29767440,32894976,109576192
45438.748893,30010632,32894976,109576192
45438.748941,21444136,32894976,109576192
45438.748986,21084408,32894976,109576192
45438.749032,21088616,32894976,109576192
45438.749079,21299696,32894976,109576192
45438.749125,21167072,32894976,109576192
45438.749171,21180280,32894976,109576192
45438.749218,21183040,32894976,109576192
45438.749264,21586216,32894976,109576192
45438.749310,30233120,32894976,109576192
45438.749357,28761064,32894976,109576192
45438.749403,28975272,32894976,109576192
45438.749449,28831552,32894976,109576192
45438.749496,27700296,32894976,109576192
45438.749542,27928328,32894976,109576192
45438.749588,27935552,32894976,109576192
45438.749635,28362168,32894976,109576192
45438.749681,28715896,32894976,109576192
45438.749727,28959776,32894976,109576192
45438.749774,29150992,32894976,109576192
45438.749820,29566984,32894976,109576192
45438.749867,29968536,32894976,109576192
